
-- Action --
+---------+------------+---------------------+--------------------+
| ID      | Activity   | Domain              | Type               |
| ACTN1   | A58        | Elevator Management | create             |
| ACTN2   | A58        | Elevator Management | new assoc ref      |
| ACTN4   | A21        | Elevator Management | signal             |
| ACTN5   | A21        | Elevator Management | signal             |
| ACTN6   | A21        | Elevator Management | decision           |
| ACTN1   | A23        | Elevator Management | traverse           |
| ACTN2   | A23        | Elevator Management | read               |
| ACTN3   | A23        | Elevator Management | traverse           |
| ACTN4   | A23        | Elevator Management | traverse           |
| ACTN5   | A23        | Elevator Management | select             |
| ACTN6   | A23        | Elevator Management | method call        |
| ACTN7   | A23        | Elevator Management | pass               |
| ACTN8   | A23        | Elevator Management | computation        |
| ACTN9   | A23        | Elevator Management | type action        |
| ACTN10  | A23        | Elevator Management | method call        |
| ACTN11  | A23        | Elevator Management | write              |
| ACTN12  | A23        | Elevator Management | decision           |
| ACTN13  | A23        | Elevator Management | pass               |
| ACTN14  | A23        | Elevator Management | gate               |
| ACTN15  | A23        | Elevator Management | decision           |
| ACTN16  | A23        | Elevator Management | decision           |
| ACTN17  | A23        | Elevator Management | read               |
| ACTN18  | A23        | Elevator Management | read               |
| ACTN19  | A23        | Elevator Management | computation        |
| ACTN20  | A23        | Elevator Management | signal             |
| ACTN21  | A23        | Elevator Management | decision           |
| ACTN22  | A23        | Elevator Management | decision           |
| ACTN23  | A23        | Elevator Management | signal             |
| ACTN1   | A25        | Elevator Management | computation        |
| ACTN2   | A25        | Elevator Management | traverse           |
| ACTN3   | A25        | Elevator Management | read               |
| ACTN4   | A25        | Elevator Management | type action        |
| ACTN5   | A25        | Elevator Management | write              |
| ACTN6   | A25        | Elevator Management | decision           |
| ACTN7   | A25        | Elevator Management | computation        |
| ACTN8   | A25        | Elevator Management | traverse           |
| ACTN9   | A25        | Elevator Management | read               |
| ACTN10  | A25        | Elevator Management | type action        |
| ACTN11  | A25        | Elevator Management | write              |
| ACTN12  | A25        | Elevator Management | decision           |
| ACTN13  | A25        | Elevator Management | traverse           |
| ACTN14  | A25        | Elevator Management | read               |
| ACTN15  | A25        | Elevator Management | type action        |
| ACTN16  | A25        | Elevator Management | write              |
| ACTN17  | A25        | Elevator Management | traverse           |
| ACTN18  | A25        | Elevator Management | read               |
| ACTN19  | A25        | Elevator Management | type action        |
| ACTN20  | A25        | Elevator Management | write              |
| ACTN21  | A25        | Elevator Management | scalar switch      |
| ACTN22  | A25        | Elevator Management | scalar switch      |
| ACTN25  | A25        | Elevator Management | read               |
| ACTN26  | A25        | Elevator Management | read               |
| ACTN28  | A25        | Elevator Management | read               |
| ACTN27  | A25        | Elevator Management | method call        |
| ACTN24  | A25        | Elevator Management | select             |
| ACTN23  | A25        | Elevator Management | signal             |
| ACTN29  | A25        | Elevator Management | signal             |
| ACTN1   | A26        | Elevator Management | traverse           |
| ACTN2   | A26        | Elevator Management | read               |
| ACTN3   | A26        | Elevator Management | type action        |
| ACTN4   | A26        | Elevator Management | write              |
| ACTN5   | A26        | Elevator Management | traverse           |
| ACTN6   | A26        | Elevator Management | read               |
| ACTN7   | A26        | Elevator Management | type action        |
| ACTN8   | A26        | Elevator Management | write              |
| ACTN9   | A26        | Elevator Management | traverse           |
| ACTN10  | A26        | Elevator Management | read               |
| ACTN11  | A26        | Elevator Management | type action        |
| ACTN12  | A26        | Elevator Management | write              |
| ACTN13  | A26        | Elevator Management | traverse           |
| ACTN14  | A26        | Elevator Management | read               |
| ACTN15  | A26        | Elevator Management | type action        |
| ACTN16  | A26        | Elevator Management | write              |
| ACTN17  | A26        | Elevator Management | scalar switch      |
| ACTN18  | A26        | Elevator Management | scalar switch      |
| ACTN20  | A26        | Elevator Management | read               |
| ACTN21  | A26        | Elevator Management | read               |
| ACTN19  | A26        | Elevator Management | signal             |
| ACTN2   | A27        | Elevator Management | traverse           |
| ACTN3   | A27        | Elevator Management | select             |
| ACTN1   | A27        | Elevator Management | update ref         |
| ACTN4   | A27        | Elevator Management | signal             |
| ACTN5   | A27        | Elevator Management | signal             |
| ACTN2   | A28        | Elevator Management | traverse           |
| ACTN1   | A28        | Elevator Management | signal             |
| ACTN3   | A28        | Elevator Management | signal             |
| ACTN1   | A29        | Elevator Management | signal             |
| ACTN2   | A29        | Elevator Management | signal             |
| ACTN2   | A30        | Elevator Management | traverse           |
| ACTN1   | A30        | Elevator Management | signal             |
| ACTN1   | A31        | Elevator Management | traverse           |
| ACTN2   | A31        | Elevator Management | read               |
| ACTN3   | A31        | Elevator Management | type action        |
| ACTN4   | A31        | Elevator Management | write              |
| ACTN5   | A31        | Elevator Management | signal             |
| ACTN1   | A32        | Elevator Management | traverse           |
| ACTN2   | A32        | Elevator Management | read               |
| ACTN3   | A32        | Elevator Management | traverse           |
| ACTN4   | A32        | Elevator Management | read               |
| ACTN5   | A32        | Elevator Management | computation        |
| ACTN6   | A32        | Elevator Management | signal             |
| ACTN7   | A32        | Elevator Management | signal             |
| ACTN8   | A32        | Elevator Management | decision           |
| ACTN2   | A33        | Elevator Management | traverse           |
| ACTN1   | A33        | Elevator Management | signal             |
| ACTN4   | A33        | Elevator Management | traverse           |
| ACTN3   | A33        | Elevator Management | signal             |
| ACTN5   | A33        | Elevator Management | traverse           |
| ACTN6   | A33        | Elevator Management | read               |
| ACTN7   | A33        | Elevator Management | computation        |
| ACTN8   | A33        | Elevator Management | signal             |
| ACTN9   | A33        | Elevator Management | decision           |
| ACTN2   | A34        | Elevator Management | traverse           |
| ACTN1   | A34        | Elevator Management | signal             |
| ACTN1   | A35        | Elevator Management | traverse           |
| ACTN2   | A35        | Elevator Management | read               |
| ACTN3   | A35        | Elevator Management | type action        |
| ACTN4   | A35        | Elevator Management | write              |
| ACTN6   | A35        | Elevator Management | traverse           |
| ACTN5   | A35        | Elevator Management | signal             |
| ACTN1   | A36        | Elevator Management | signal             |
| ACTN2   | A38        | Elevator Management | traverse           |
| ACTN3   | A38        | Elevator Management | read               |
| ACTN1   | A38        | Elevator Management | signal             |
| ACTN4   | A38        | Elevator Management | signal             |
| ACTN2   | A39        | Elevator Management | traverse           |
| ACTN1   | A39        | Elevator Management | signal             |
| ACTN1   | A40        | Elevator Management | write              |
| ACTN2   | A40        | Elevator Management | signal             |
| ACTN3   | A41        | Elevator Management | traverse           |
| ACTN1   | A41        | Elevator Management | create             |
| ACTN2   | A41        | Elevator Management | new assoc ref      |
| ACTN4   | A41        | Elevator Management | signal             |
| ACTN2   | A42        | Elevator Management | traverse           |
| ACTN1   | A42        | Elevator Management | signal             |
| ACTN3   | A42        | Elevator Management | signal             |
| ACTN1   | A44        | Elevator Management | write              |
| ACTN2   | A44        | Elevator Management | traverse           |
| ACTN3   | A44        | Elevator Management | signal             |
| ACTN4   | A44        | Elevator Management | signal             |
| ACTN5   | A44        | Elevator Management | decision           |
| ACTN2   | A45        | Elevator Management | traverse           |
| ACTN1   | A45        | Elevator Management | signal             |
| ACTN4   | A45        | Elevator Management | traverse           |
| ACTN5   | A45        | Elevator Management | select             |
| ACTN3   | A45        | Elevator Management | delete             |
| ACTN6   | A45        | Elevator Management | signal             |
| ACTN2   | A46        | Elevator Management | traverse           |
| ACTN1   | A46        | Elevator Management | signal             |
| ACTN4   | A46        | Elevator Management | read               |
| ACTN3   | A46        | Elevator Management | signal             |
| ACTN3   | A47        | Elevator Management | read               |
| ACTN2   | A47        | Elevator Management | select             |
| ACTN1   | A47        | Elevator Management | update ref         |
| ACTN4   | A47        | Elevator Management | signal             |
| ACTN2   | A48        | Elevator Management | traverse           |
| ACTN1   | A48        | Elevator Management | signal             |
| ACTN3   | A48        | Elevator Management | signal             |
| ACTN2   | A50        | Elevator Management | traverse           |
| ACTN1   | A50        | Elevator Management | signal             |
| ACTN3   | A50        | Elevator Management | signal             |
| ACTN3   | A51        | Elevator Management | read               |
| ACTN2   | A51        | Elevator Management | select             |
| ACTN1   | A51        | Elevator Management | update ref         |
| ACTN4   | A51        | Elevator Management | signal             |
| ACTN1   | A52        | Elevator Management | traverse           |
| ACTN3   | A52        | Elevator Management | traverse           |
| ACTN4   | A52        | Elevator Management | read               |
| ACTN5   | A52        | Elevator Management | type action        |
| ACTN2   | A52        | Elevator Management | select             |
| ACTN6   | A52        | Elevator Management | traverse           |
| ACTN8   | A52        | Elevator Management | traverse           |
| ACTN9   | A52        | Elevator Management | read               |
| ACTN7   | A52        | Elevator Management | select             |
| ACTN10  | A52        | Elevator Management | traverse           |
| ACTN11  | A52        | Elevator Management | read               |
